device_id,date
56539e59-7669-433e-8f03-0fb7203bc9f3,2022-12-09
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-07
ffe96eaa-8909-4958-a34e-0ed1fe68f9bd,2022-12-07
95959b6c-46ad-449b-ad9f-aec4589a704f,2022-11-15
dff9a20d-f314-4901-8adc-fa91b6e2c5b8,2022-12-05
160d7b33-a74f-438d-af2a-445ecd8c4ff1,2022-12-14
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-20
8760f740-8360-4e09-b198-d992bcb6d67c,2022-12-07
b97b9fda-6384-4f1c-a0b6-533272ecc2bb,2022-12-04
6965b966-d305-4743-b425-3f7b924293a4,2022-11-17
0ffb36e1-167c-423e-b8c1-63ea32ae8b22,2022-12-07
0d9821b5-83fd-44f9-863b-12e4c0f62738,2022-12-14
f3845ba4-8702-42cf-a14f-051c46f66b61,2022-11-11
4f6c32f7-25ac-4837-8571-61d7211352d4,2022-12-23
c90fc8dd-1b5d-4f1a-815b-c98fdaf8b406,2022-11-14
f699d750-b3e3-4e62-8621-58c64481df2c,2022-11-11
3da64949-1d4f-48cf-a951-ce3e9210795e,2022-12-07
f26f3abd-8eea-4a4e-b123-be754f03b847,2022-12-05
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-19
33fcced4-82c8-42a3-ae2d-cdfdc365f7e2,2022-12-02
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-15
cb970784-a6f7-43f1-b72e-6887d46d1ee9,2022-12-06
144cc8ef-2ce3-466f-a86d-139a1a39cf85,2022-12-06
e8710240-dd8b-4792-a940-e4cf5c1760e4,2022-12-08
1e73df50-ef10-4025-9c34-e44afd115d77,2022-12-14
7e1cc61e-1ae5-422f-ad0d-b1e2f177dfac,2022-11-11
631788ed-6d66-4c1c-8b18-c2d320fd3043,2022-12-07
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-05
780c9b18-72d3-4714-858d-3c91b3719155,2022-12-16
3a6fc809-973b-4325-9bbe-05c3cdc13ae3,2022-12-09
381fcfe1-d77b-4770-bc0e-90861799f23e,2022-12-06
10592755-9ec2-4116-bb4d-58d0af49bcb2,2022-12-02
4819ec9b-2139-48bc-9f03-5662d38e1e83,2022-12-06
42476945-afd2-4b05-9a0c-2b2f44246c43,2022-12-07
d285b451-3910-4591-8b49-83ca160159e5,2022-12-13
84249fa7-bf40-4413-b9d3-b121ba70afb1,2022-12-14
fd307698-3da3-4599-b1cf-22792211494f,2022-12-05
cb513d54-266f-46f2-83e5-5b37258d93f6,2022-12-09
6e4f1955-6d5a-4eb8-851c-7c0f61b1fc6b,2022-12-12
41646f47-46d6-4ea7-90fd-0b6afaea3d64,2022-11-23
890fa6c5-0126-4953-8bb8-808dffcb55c8,2022-12-02
98de0a59-c75e-4b1b-b80c-dd54dbfd5e07,2022-12-07
1e329236-5aa0-42d5-a811-5e4cfa400c85,2022-12-09
a1118578-bbb4-47ef-b784-7d5bd09ad8b5,2022-12-16
56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-07
bf244d2f-5edd-4000-80f4-084c7951ece9,2022-12-06
72261f02-0053-48e9-9051-1c42ba4f5bcd,2022-12-06
2b5c3dfc-3ad2-4c8b-9539-ba922afed3c9,2022-12-14
97565e04-92ba-4f57-9300-d1657613dd3e,2022-12-14
cc715c31-45ae-4293-8ed6-961507819514,2022-12-02
93065d22-8138-49d0-bde4-aa05eafa94cc,2022-12-13
b460f89e-fd76-46ff-a960-989d74fcb66a,2022-11-11
30ca0662-67d1-42d6-9610-d435e60a6a79,2022-12-09
eac0be15-d3d8-43e5-8e19-41021ecf9c33,2022-11-22
ebaa8e94-18ce-4221-8b10-37dcf2d93baf,2022-12-08
6a44b40b-76be-4117-8fb6-fba352458807,2022-12-07
cb6d195d-051f-4cd5-baf1-74b32667ddf7,2022-12-02
46f68cbe-5f0d-4a69-8362-39389610ff63,2022-11-11
413a0a39-2641-4bbf-80a3-42dd0d5e97f1,2022-12-05
55b49a7e-8ffe-4f91-af32-8101398db6e9,2022-12-05
a89d3083-9c27-43c7-bfe1-e4f72d1ac3a3,2022-11-25
e5048fab-dc20-4d99-8cea-220a5a2750e0,2022-11-11
826fee95-bb60-4915-9e63-d027bf225eb5,2022-12-21
1aa44377-7d5b-4bfe-99a5-83745ee52c1f,2022-12-02
e745db7e-fe58-4077-a429-6b959c72581a,2022-12-07
c93e81cf-afe3-4159-9ae8-46667f8336f9,2022-12-04
ae02314b-a607-41b9-9507-28ffa1babed7,2022-11-11
d565193f-df85-4012-a747-0e415cf60f37,2022-12-14
fb9f306e-fa07-431d-beaa-7bcb9f1ebe5b,2022-12-12
960c667a-6e6f-43f7-a4c2-e38996ba24cd,2022-12-06
b09ff4ae-575f-4bdb-b00b-9acd49246407,2022-12-07
78993a86-6de9-4578-b8d1-9bdf6a6bb852,2022-12-05
25eb1e48-38c1-48dd-a73a-515edc31bd66,2022-12-05
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-12
c367002e-992f-48f1-b5e1-66a833c76379,2022-11-18
4e624b77-faaf-4d32-8334-9d50e016c46c,2022-12-07
df71d15b-b32d-4dc5-9ac7-6946a6081e5b,2022-12-16
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-15
