device_id,date,current_cadence,current_pace,distance,floors_ascended,floors_descended,number_of_steps
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-19,0.0,0.0,3399.9299999987725,7,12,5002
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-20,0.0,0.0,4640.640000000895,8,10,7297
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-21,0.0,0.0,7952.619999999473,13,16,11630
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-22,0.0,0.0,6909.12374935619,9,8,10194
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-23,0.0,0.0,5040.349999999046,12,8,7876
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-24,0.0,0.0,5292.989641162165,10,12,7850
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-25,0.0,0.0,2558.934778964791,12,13,3994
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-26,0.0,0.0,3590.708032693015,15,16,5387
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-27,0.0,0.0,4617.7916430623745,15,15,6937
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-28,0.0,0.0,3255.2607180685745,11,11,5017
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-29,0.0,0.0,4902.292506872855,19,16,7597
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-30,0.0,0.0,10601.936628993482,11,14,15522
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-31,0.0,0.0,5711.881996282083,12,11,8681
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-01,0.0,0.0,3491.597573903744,10,11,5240
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-02,0.0,0.0,3070.3100000000595,11,12,4429
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-03,0.0,0.0,3873.7599999996555,5,5,5663
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-04,0.0,0.0,3915.813344994092,8,11,5898
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-05,0.0,0.0,4309.038677676347,7,8,6220
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-06,0.0,0.0,6410.381322323462,9,8,9781
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-07,0.0,0.0,4397.1658427758375,11,10,6728
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-08,0.0,0.0,3908.879999997213,8,8,5917
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-09,0.0,0.0,5179.134789111439,8,10,8011
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-10,0.0,0.0,6117.4827345968215,9,8,9090
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-11,0.0,0.0,2820.5262646472556,4,3,4270
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-20,0.0,0.0,864.9499999999243,6,5,1388
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-21,0.0,0.0,2999.220000000089,7,7,4628
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-22,0.0,0.0,496.1500000001688,7,4,791
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-23,0.0,0.0,248.4700000000011,1,1,370
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-24,0.0,0.0,624.7800000001477,6,4,1036
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-25,0.0,0.0,687.9500000007096,9,8,1103
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-26,0.0,0.0,424.4102140818133,4,4,642
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-27,0.0,0.0,453.45000000012897,7,7,655
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-28,0.0,0.0,852.2905153982565,1,2,1359
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-29,0.0,0.0,3662.8194915007903,4,9,6309
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-30,0.0,0.0,735.3999999998458,4,4,1155
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-31,0.0,0.0,1626.8157669364602,7,10,2552
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-01,0.0,0.0,166.02302222308967,3,1,251
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-02,0.0,0.0,329.08999999996706,6,4,496
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-03,0.0,0.0,601.5999999995103,3,1,983
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-04,0.0,0.0,1790.0071527637763,7,7,2969
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-05,0.0,0.0,1494.5400000002137,5,3,2396
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-06,0.0,0.0,2404.4842786780832,7,6,3834
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-07,0.0,0.0,87.3399999998509,2,1,121
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-08,0.0,0.0,241.04999999981115,6,4,345
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-09,0.0,0.0,973.4599999998453,5,7,1596
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-10,0.0,0.0,6309.521350220837,15,17,10651
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-11,0.0,0.0,600.2000000004184,6,8,994
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-15,0.0,0.0,1831.9700000004357,3,0,2662
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-16,0.0,0.0,2360.3900000004833,3,2,3455
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-17,0.0,0.0,2970.620000000171,7,5,4313
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-18,0.0,0.0,3483.440000001173,7,5,5126
