device_id,date,elapsed_device_on,elapsed_device_off
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-19,2059.8673245906916,9058.977985620519
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-20,5478.438835144049,79157.38479089718
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-21,7987.285941839224,80162.94773602538
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-22,9316.175104141279,77363.96259403172
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-23,13422.878652572672,73212.2891743179
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-24,6787.529537916147,78773.63134098017
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-25,9913.937289237974,77326.14657497378
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-26,10740.928966045405,74393.72420382538
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-27,8563.635838270166,77817.45266866733
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-28,7576.416795492171,78852.10680055585
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-29,9137.402900934247,78538.43242502253
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-30,8397.435150861736,77485.51997423118
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-31,7952.582813024516,78384.82508397108
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-01,7501.7298707962145,79141.63036823257
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-02,3642.335652589791,58987.637348413205
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-03,1805.9530956745261,46574.276628017564
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-04,8737.993937730762,76426.06003332134
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-05,8219.730463504777,78364.70546340918
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-06,557.4001593589742,5693.734939813547
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-07,2330.870751380913,6895.096621751836
