device_id,date,screen_on_freq,screen_on_time
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-19,11,1831.39
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-20,40,5478.451
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-21,41,7987.291999999999
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-22,49,9316.162999999999
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-23,58,13422.875999999995
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-24,43,6787.531999999998
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-25,62,9913.941
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-26,61,10740.920999999998
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-27,61,8563.658999999996
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-28,75,7576.406000000001
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-29,48,9137.400999999998
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-30,57,8397.446000000004
00e17b8a-4b0f-4230-bd26-3df2853e8916,2022-12-31,55,7952.577
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-01,58,7501.724999999999
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-02,15,3642.333
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-03,8,1744.537
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-04,67,8757.82
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-05,58,8219.726
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-06,7,557.4000000000001
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-07,16,160708.492
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-08,40,4593.142
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-09,49,5704.574
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-10,25,2154.824
00e17b8a-4b0f-4230-bd26-3df2853e8916,2023-01-11,50,42908.337
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-20,8,9781.866999999998
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-21,110,65664.017
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-22,33,51699.847
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-23,34,57950.499999999985
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-24,36,11527.801999999998
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-25,45,31031.71099999999
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-26,39,39296.06300000001
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-27,41,63713.148
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-28,47,63335.72899999999
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-29,57,48532.36400000001
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-30,31,63634.95900000001
029e57cb-fa0d-479d-abd2-9cb5745f219d,2022-12-31,72,50475.723
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-01,26,69276.89600000001
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-02,41,21854.92299999999
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-03,47,40309.09299999999
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-04,105,33594.66899999999
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-05,48,42009.058000000005
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-06,59,38042.157
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-07,56,25465.494999999995
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-08,38,71736.656
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-09,31,45296.560000000005
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-10,39,42308.184
029e57cb-fa0d-479d-abd2-9cb5745f219d,2023-01-11,26,35889.973
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-15,8,1966.042
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-16,52,45357.214
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-17,41,7912.743
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-18,41,17529.736
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-19,43,10189.474
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-20,50,6899.081
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-21,54,16941.294
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-22,61,20774.735000000004
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-23,77,22163.464000000004
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-24,51,14788.724999999997
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-25,47,19982.86200000001
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-26,37,15018.872999999998
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-27,69,22684.121
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-28,75,15573.887999999995
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-29,62,21937.486000000004
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-11-30,73,17058.245
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-01,53,10170.429000000002
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-02,63,14053.406000000006
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-03,56,14332.066
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-04,63,14586.994
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-05,57,13776.986000000003
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-06,50,13317.305000000006
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-07,57,9146.902
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-08,46,6987.334000000002
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-09,64,13131.233
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-10,45,10217.557999999997
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-11,36,9543.375
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-12,43,11989.101999999997
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-13,42,12391.697000000002
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-14,66,17472.136000000002
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-15,50,10072.987999999998
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-16,32,9306.911999999997
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-17,56,19930.464
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-18,54,15046.759999999997
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-19,42,13416.978000000001
